time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
14.75,7wjxh,0.00340,0.05000,1
14.75,nkrrr,0.00238,0.05000,1
14.75,tskjt,0.00284,0.05000,1
14.75,xsc9d,0.00287,0.05000,1
14.75,zjflw,0.00256,0.05000,1
15.00,787rb,0.00301,0.05000,1
15.00,79xf6,0.00216,0.05000,1
15.00,7wjxh,0.00325,0.05000,1
15.00,nkrrr,0.00268,0.05000,1
15.00,tskjt,0.00320,0.05000,1
15.00,xsc9d,0.00266,0.05000,1
15.00,zjflw,0.00247,0.05000,1
15.25,787rb,0.00384,0.05000,1
15.25,79xf6,0.00214,0.05000,1
15.25,7wjxh,0.00295,0.05000,1
15.25,nkrrr,0.00267,0.05000,1
15.25,tskjt,0.00367,0.05000,1
15.25,xsc9d,0.00267,0.05000,1
15.25,zjflw,0.00236,0.05000,1
15.50,787rb,0.00344,0.05000,1
15.50,79xf6,0.00213,0.05000,1
15.50,7wjxh,0.00264,0.05000,1
15.50,nkrrr,0.00309,0.05000,1
15.50,tskjt,0.00339,0.05000,1
15.50,xsc9d,0.00307,0.05000,1
15.50,zjflw,0.00276,0.05000,1
15.75,787rb,0.00352,0.05000,1
15.75,79xf6,0.00237,0.05000,1
15.75,7wjxh,0.00310,0.05000,1
15.75,nkrrr,0.00222,0.05000,1
15.75,tskjt,0.00336,0.05000,1
15.75,xsc9d,0.00242,0.05000,1
15.75,zjflw,0.00251,0.05000,1
16.00,787rb,0.00329,0.05000,1
16.00,79xf6,0.00236,0.05000,1
16.00,7wjxh,0.00334,0.05000,1
16.00,nkrrr,0.00249,0.05000,1
16.00,tskjt,0.00347,0.05000,1
16.00,xsc9d,0.00318,0.05000,1
16.00,zjflw,0.00303,0.05000,1
